user_id,article_id_BM25,TOP-K_BM25
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220216_154FB2A50F,3
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220302_6D4E5FFAA4,4
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220223_D15FB0110C,5
brnada-FALTER_20211222_9E057FCFEF,FALTER_20211222_B0A321871F,6
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220309_ADE3AE6224,7
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220202_CC707934FF,8
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220713_211D121941,9
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220713_CAAE68A65F,10
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220323_B272A60E63,11
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220112_5123F1A704,12
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220511_4CA6D4AD5B,13
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220511_71668B1344,14
brnada-FALTER_20211222_9E057FCFEF,FALTER_20221012_C21916991D,15
brnada-FALTER_20220126_8843A13D9D,FALTER_20211215_AF0C90B712,1
brnada-FALTER_20220126_8843A13D9D,FALTER_20220126_5FA47BB63A,2
brnada-FALTER_20220126_8843A13D9D,FALTER_20220803_6CB53C4244,3
brnada-FALTER_20220126_8843A13D9D,FALTER_20221019_C7B0CE1462,4
brnada-FALTER_20220126_8843A13D9D,FALTER_20220518_B804602C3C,5
brnada-FALTER_20220126_8843A13D9D,FALTER_20220330_73CAF44312,6
brnada-FALTER_20220126_8843A13D9D,FALTER_20220420_E2855BC9AE,7
brnada-FALTER_20220126_8843A13D9D,FALTER_20211222_40076C3AB9,8
brnada-FALTER_20220126_8843A13D9D,FALTER_20211222_BA9781D05E,9
brnada-FALTER_20220126_8843A13D9D,FALTER_20211222_E7A625F5A8,10
brnada-FALTER_20220126_8843A13D9D,FALTER_20220706_2C863FCC5F,11
brnada-FALTER_20220126_8843A13D9D,FALTER_20220112_8EAECAFBBC,12
brnada-FALTER_20220126_8843A13D9D,FALTER_20220223_F82A34E466,13
brnada-FALTER_20220126_8843A13D9D,FALTER_20211222_04EB44E2A2,14
brnada-FALTER_20220126_8843A13D9D,FALTER_20220202_98620A8CFE,15
brnada-FALTER_20220223_269DAE0D66,FALTER_20220209_5CA8DCBD6D,1
brnada-FALTER_20220223_269DAE0D66,FALTER_20220518_4460B08F42,2
brnada-FALTER_20220223_269DAE0D66,FALTER_20220209_16A18EC699,3
brnada-FALTER_20220223_269DAE0D66,FALTER_20220511_71668B1344,4
brnada-FALTER_20220223_269DAE0D66,FALTER_20221026_18EA474D13,5
brnada-FALTER_20220223_269DAE0D66,FALTER_20220525_276AE25D1D,6
brnada-FALTER_20220223_269DAE0D66,FALTER_20220202_CC707934FF,7
brnada-FALTER_20220223_269DAE0D66,FALTER_20220406_EA00DAEC2E,8
brnada-FALTER_20220223_269DAE0D66,FALTER_20220518_4940544DDD,9
brnada-FALTER_20220223_269DAE0D66,FALTER_20220216_1011C22CF7,10
brnada-FALTER_20220223_269DAE0D66,FALTER_20220525_04F1FE7FB2,11
brnada-FALTER_20220223_269DAE0D66,FALTER_20220921_B6B7C27F2B,12
brnada-FALTER_20220223_269DAE0D66,FALTER_20220309_A08F92CAF9,13
brnada-FALTER_20220223_269DAE0D66,FALTER_20220824_56AF6D9EAD,14
brnada-FALTER_20220223_269DAE0D66,FALTER_20221116_A42AA55DC7,15
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220216_154FB2A50F,1
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20211222_96F3A54AA0,2
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20221005_F230902738,3
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220921_22135BD9FB,4
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220302_19351A344E,5
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220323_2D65096906,6
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220302_A898C15939,7
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220223_EB79F5F51E,8
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20221102_92EEC85C8A,9
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220216_0CFAC71764,10
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220413_EDC7023A23,11
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20221109_C78F5CC05B,12
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220406_CFF3E4B722,13
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220928_E5DF2B1850,14
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220713_038D7E7989,15
brnada-FALTER_20220302_19351A344E,FALTER_20220921_22135BD9FB,1
brnada-FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,2
brnada-FALTER_20220302_19351A344E,FALTER_20220309_1C6B8418BE,3
brnada-FALTER_20220302_19351A344E,FALTER_20220323_2D65096906,4
brnada-FALTER_20220302_19351A344E,FALTER_20220518_B804602C3C,5
brnada-FALTER_20220302_19351A344E,FALTER_20221102_92EEC85C8A,6
brnada-FALTER_20220302_19351A344E,FALTER_20220216_154FB2A50F,7
brnada-FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,8
brnada-FALTER_20220302_19351A344E,FALTER_20220928_E5DF2B1850,9
brnada-FALTER_20220302_19351A344E,FALTER_20220302_A898C15939,10
brnada-FALTER_20220302_19351A344E,FALTER_20220330_501B548D7A,11
brnada-FALTER_20220302_19351A344E,FALTER_20220323_9D2681AD74,12
brnada-FALTER_20220302_19351A344E,FALTER_20221116_2C69901D73,13
brnada-FALTER_20220302_19351A344E,FALTER_20220406_CFF3E4B722,14
brnada-FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,15
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220810_8E36475C03,1
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220803_64C0733884,2
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220223_27DE9DFAF4,3
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220309_550DDBD939,4
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220921_22135BD9FB,5
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220309_42A389810E,6
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220302_19351A344E,7
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220330_C0D90F157B,8
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220216_154FB2A50F,9
brnada-FALTER_20220302_57B22E6ACE,FALTER_20211222_96F3A54AA0,10
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220629_2D1EF3F677,11
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220413_EDC7023A23,12
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220309_1C6B8418BE,13
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220504_88561D5AE3,14
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220413_92BC5802FB,15
brnada-FALTER_20220309_42A389810E,FALTER_20220309_0239B6A0BC,1
brnada-FALTER_20220309_42A389810E,FALTER_20220330_4D56533486,2
brnada-FALTER_20220309_42A389810E,FALTER_20220302_19351A344E,3
brnada-FALTER_20220309_42A389810E,FALTER_20220316_C33003D020,4
brnada-FALTER_20220309_42A389810E,FALTER_20220921_22135BD9FB,5
brnada-FALTER_20220309_42A389810E,FALTER_20220309_1C6B8418BE,6
brnada-FALTER_20220309_42A389810E,FALTER_20220810_8E36475C03,7
brnada-FALTER_20220309_42A389810E,FALTER_20220928_E5DF2B1850,8
brnada-FALTER_20220309_42A389810E,FALTER_20220216_154FB2A50F,9
brnada-FALTER_20220309_42A389810E,FALTER_20220511_964B3F8189,10
brnada-FALTER_20220309_42A389810E,FALTER_20220928_C7F1FD40C8,11
brnada-FALTER_20220309_42A389810E,FALTER_20220518_B804602C3C,12
brnada-FALTER_20220309_42A389810E,FALTER_20220330_12EF29740D,13
brnada-FALTER_20220309_42A389810E,FALTER_20220713_038D7E7989,14
brnada-FALTER_20220309_42A389810E,FALTER_20220323_A229E0EDC3,15
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220518_B804602C3C,1
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220302_19351A344E,2
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220309_54EDF6DE99,3
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220525_52B6E1A964,4
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220309_E0E0B5AA9A,5
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220413_EDC7023A23,6
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220406_CFF3E4B722,7
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220316_8AE2382F6B,8
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220803_8ACD9FFD49,9
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220413_8CAD826DDB,10
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220518_D9551C3082,11
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220727_8183AA9689,12
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220921_22135BD9FB,13
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220216_154FB2A50F,14
brnada-FALTER_20220323_2CE7FEE241,FALTER_20221109_F45292DD67,15
brnada-FALTER_20220330_426C78A4CD,FALTER_20220511_6268F6609B,1
brnada-FALTER_20220330_426C78A4CD,FALTER_20220323_A9D672E0A5,2
brnada-FALTER_20220330_426C78A4CD,FALTER_20221005_AEB2C76D66,3
brnada-FALTER_20220330_426C78A4CD,FALTER_20211222_E7A625F5A8,4
brnada-FALTER_20220330_426C78A4CD,FALTER_20220518_48A2BFD79B,5
brnada-FALTER_20220330_426C78A4CD,FALTER_20220518_B804602C3C,6
brnada-FALTER_20220330_426C78A4CD,FALTER_20220406_DA8363C875,7
brnada-FALTER_20220330_426C78A4CD,FALTER_20220406_B0F9C3BD78,8
brnada-FALTER_20220330_426C78A4CD,FALTER_20220202_61227AC28E,9
brnada-FALTER_20220330_426C78A4CD,FALTER_20220622_A64E9B9B08,10
brnada-FALTER_20220330_426C78A4CD,FALTER_20220921_5C8C32E30D,11
brnada-FALTER_20220330_426C78A4CD,FALTER_20211222_40076C3AB9,12
brnada-FALTER_20220330_426C78A4CD,FALTER_20220316_7F1941A3EA,13
brnada-FALTER_20220330_426C78A4CD,FALTER_20220126_686D36A25A,14
brnada-FALTER_20220330_426C78A4CD,FALTER_20211215_4ADEB44811,15
brnada-FALTER_20220330_4D56533486,FALTER_20220309_42A389810E,1
brnada-FALTER_20220330_4D56533486,FALTER_20220309_0239B6A0BC,2
brnada-FALTER_20220330_4D56533486,FALTER_20220216_154FB2A50F,3
brnada-FALTER_20220330_4D56533486,FALTER_20220928_E5DF2B1850,4
brnada-FALTER_20220330_4D56533486,FALTER_20220302_19351A344E,5
brnada-FALTER_20220330_4D56533486,FALTER_20221102_92EEC85C8A,6
brnada-FALTER_20220330_4D56533486,FALTER_20221012_D6A09D0DB1,7
brnada-FALTER_20220330_4D56533486,FALTER_20211222_96F3A54AA0,8
brnada-FALTER_20220330_4D56533486,FALTER_20220316_C33003D020,9
brnada-FALTER_20220330_4D56533486,FALTER_20220323_A229E0EDC3,10
brnada-FALTER_20220330_4D56533486,FALTER_20220223_EB79F5F51E,11
brnada-FALTER_20220330_4D56533486,FALTER_20220907_071745C7DD,12
brnada-FALTER_20220330_4D56533486,FALTER_20220216_0CFAC71764,13
brnada-FALTER_20220330_4D56533486,FALTER_20220420_03E73B0284,14
brnada-FALTER_20220330_4D56533486,FALTER_20220302_672863FB5A,15
brnada-FALTER_20220511_964B3F8189,FALTER_20220216_154FB2A50F,1
brnada-FALTER_20220511_964B3F8189,FALTER_20220302_19351A344E,2
brnada-FALTER_20220511_964B3F8189,FALTER_20220518_B804602C3C,3
brnada-FALTER_20220511_964B3F8189,FALTER_20220413_7F2C679512,4
brnada-FALTER_20220511_964B3F8189,FALTER_20220928_C7F1FD40C8,5
brnada-FALTER_20220511_964B3F8189,FALTER_20220928_E5DF2B1850,6
brnada-FALTER_20220511_964B3F8189,FALTER_20220323_9D2681AD74,7
brnada-FALTER_20220511_964B3F8189,FALTER_20220302_672863FB5A,8
brnada-FALTER_20220511_964B3F8189,FALTER_20220518_D9551C3082,9
brnada-FALTER_20220511_964B3F8189,FALTER_20220309_FE59453C09,10
brnada-FALTER_20220511_964B3F8189,FALTER_20220921_22135BD9FB,11
brnada-FALTER_20220511_964B3F8189,FALTER_20220420_03E73B0284,12
brnada-FALTER_20220511_964B3F8189,FALTER_20220309_54EDF6DE99,13
brnada-FALTER_20220511_964B3F8189,FALTER_20221109_F45292DD67,14
brnada-FALTER_20220511_964B3F8189,FALTER_20220309_E0E0B5AA9A,15
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220720_D1344797F8,1
brnada-FALTER_20220518_EE8013F8A2,FALTER_20211215_4EF6167A2A,2
brnada-FALTER_20220518_EE8013F8A2,FALTER_20211222_A35407C20B,3
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220511_FBF1B6E8BF,4
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220928_1A92012FF7,5
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220223_CDDF5A96F6,6
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220413_EDC7023A23,7
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220427_169DDC1CA3,8
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220824_23AE4161B4,9
brnada-FALTER_20220518_EE8013F8A2,FALTER_20211222_40076C3AB9,10
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220316_E42C899665,11
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220420_130E405AF0,12
brnada-FALTER_20220518_EE8013F8A2,FALTER_20221026_792F2C3031,13
brnada-FALTER_20220518_EE8013F8A2,FALTER_20221005_AEB2C76D66,14
brnada-FALTER_20220518_EE8013F8A2,FALTER_20220330_73CAF44312,15
brnada-FALTER_20220525_52B6E1A964,FALTER_20221005_CAE3B6980C,1
brnada-FALTER_20220525_52B6E1A964,FALTER_20220309_E0E0B5AA9A,2
brnada-FALTER_20220525_52B6E1A964,FALTER_20220518_B804602C3C,3
brnada-FALTER_20220525_52B6E1A964,FALTER_20211222_40076C3AB9,4
brnada-FALTER_20220525_52B6E1A964,FALTER_20220824_4FE804C1B1,5
brnada-FALTER_20220525_52B6E1A964,FALTER_20221109_153991C14D,6
brnada-FALTER_20220525_52B6E1A964,FALTER_20220622_3C4302B106,7
brnada-FALTER_20220525_52B6E1A964,FALTER_20220316_D60200B0E2,8
brnada-FALTER_20220525_52B6E1A964,FALTER_20221109_F45292DD67,9
brnada-FALTER_20220525_52B6E1A964,FALTER_20220216_0CFAC71764,10
brnada-FALTER_20220525_52B6E1A964,FALTER_20221019_F87E70B8F5,11
brnada-FALTER_20220525_52B6E1A964,FALTER_20220504_05D47A7910,12
brnada-FALTER_20220525_52B6E1A964,FALTER_20220831_996BEDEA5E,13
brnada-FALTER_20220525_52B6E1A964,FALTER_20220330_42D1E9970A,14
brnada-FALTER_20220525_52B6E1A964,FALTER_20220323_2CE7FEE241,15
dusini-FALTER_20220406_38961C830C,FALTER_20220316_28801AC320,1
dusini-FALTER_20220406_38961C830C,FALTER_20220817_B77375F05B,2
dusini-FALTER_20220406_38961C830C,FALTER_20220907_EF69F656B5,3
dusini-FALTER_20220406_38961C830C,FALTER_20220216_0CFAC71764,4
dusini-FALTER_20220406_38961C830C,FALTER_20220119_9AA29A282F,5
dusini-FALTER_20220406_38961C830C,FALTER_20220420_4A481AAD54,6
dusini-FALTER_20220406_38961C830C,FALTER_20211215_342F355253,7
dusini-FALTER_20220406_38961C830C,FALTER_20220330_501B548D7A,8
dusini-FALTER_20220406_38961C830C,FALTER_20221109_6B8EF9C1FB,9
dusini-FALTER_20220406_38961C830C,FALTER_20220511_71668B1344,10
dusini-FALTER_20220406_38961C830C,FALTER_20220706_02713EB504,11
dusini-FALTER_20220406_38961C830C,FALTER_20220420_C63F753BEC,12
dusini-FALTER_20220406_38961C830C,FALTER_20220817_03FEAB2D01,13
dusini-FALTER_20220406_38961C830C,FALTER_20220831_94A149ABB7,14
dusini-FALTER_20220406_38961C830C,FALTER_20220817_1DA631BC19,15
dusini-FALTER_20220413_272C337CE3,FALTER_20220420_C63F753BEC,1
dusini-FALTER_20220413_272C337CE3,FALTER_20220921_22135BD9FB,2
dusini-FALTER_20220413_272C337CE3,FALTER_20220504_88561D5AE3,3
dusini-FALTER_20220413_272C337CE3,FALTER_20220302_672863FB5A,4
dusini-FALTER_20220413_272C337CE3,FALTER_20220518_9965EC9A96,5
dusini-FALTER_20220413_272C337CE3,FALTER_20220518_B804602C3C,6
dusini-FALTER_20220413_272C337CE3,FALTER_20220511_71668B1344,7
dusini-FALTER_20220413_272C337CE3,FALTER_20220302_19351A344E,8
dusini-FALTER_20220413_272C337CE3,FALTER_20220323_9D2681AD74,9
dusini-FALTER_20220413_272C337CE3,FALTER_20220216_0CFAC71764,10
dusini-FALTER_20220413_272C337CE3,FALTER_20221102_92EEC85C8A,11
dusini-FALTER_20220413_272C337CE3,FALTER_20220413_EDC7023A23,12
dusini-FALTER_20220413_272C337CE3,FALTER_20220216_154FB2A50F,13
dusini-FALTER_20220413_272C337CE3,FALTER_20220928_C7F1FD40C8,14
dusini-FALTER_20220413_272C337CE3,FALTER_20220511_964B3F8189,15
dusini-FALTER_20220413_723A6699A6,FALTER_20220914_80FA8EE8BB,1
dusini-FALTER_20220413_723A6699A6,FALTER_20211222_4964EEDB12,2
dusini-FALTER_20220413_723A6699A6,FALTER_20221026_0EDFE61C97,3
dusini-FALTER_20220413_723A6699A6,FALTER_20220216_A4E46A332D,4
dusini-FALTER_20220413_723A6699A6,FALTER_20220810_F3E73967E3,5
dusini-FALTER_20220413_723A6699A6,FALTER_20221116_2A590A813A,6
dusini-FALTER_20220413_723A6699A6,FALTER_20220302_EEEFB19294,7
dusini-FALTER_20220413_723A6699A6,FALTER_20220420_3F1EDF41C2,8
dusini-FALTER_20220413_723A6699A6,FALTER_20220518_AF1DAF3E84,9
dusini-FALTER_20220413_723A6699A6,FALTER_20220126_423CDDDBE2,10
dusini-FALTER_20220413_723A6699A6,FALTER_20221207_768990F210,11
dusini-FALTER_20220413_723A6699A6,FALTER_20221123_B107F87D4A,12
dusini-FALTER_20220413_723A6699A6,FALTER_20220608_0942739322,13
dusini-FALTER_20220413_723A6699A6,FALTER_20221019_0CA617E1B5,14
dusini-FALTER_20220413_723A6699A6,FALTER_20220727_D4EFFDE2C9,15
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220406_CFF3E4B722,1
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220518_D9551C3082,2
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220518_B804602C3C,3
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220803_F2C9E4BA31,4
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220302_5B02AED7A2,5
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220323_A229E0EDC3,6
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220413_EDC7023A23,7
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220316_8AE2382F6B,8
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220921_22135BD9FB,9
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220309_54EDF6DE99,10
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220302_19351A344E,11
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220420_C63F753BEC,12
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220928_E5DF2B1850,13
dusini-FALTER_20220413_8CAD826DDB,FALTER_20220316_5CF345D5B2,14
dusini-FALTER_20220413_8CAD826DDB,FALTER_20221005_0C36289EFB,15
dusini-FALTER_20220420_456B81C1ED,FALTER_20220309_42E429DB72,1
dusini-FALTER_20220420_456B81C1ED,FALTER_20221102_CA7B580DFC,2
dusini-FALTER_20220420_456B81C1ED,FALTER_20220302_2636725DD5,3
dusini-FALTER_20220420_456B81C1ED,FALTER_20221109_A2B42AA97C,4
dusini-FALTER_20220420_456B81C1ED,FALTER_20220316_C99BBA71AA,5
dusini-FALTER_20220420_456B81C1ED,FALTER_20220928_C7F1FD40C8,6
dusini-FALTER_20220420_456B81C1ED,FALTER_20220907_071745C7DD,7
dusini-FALTER_20220420_456B81C1ED,FALTER_20220406_38961C830C,8
dusini-FALTER_20220420_456B81C1ED,FALTER_20220727_ABE58D8343,9
dusini-FALTER_20220420_456B81C1ED,FALTER_20220323_621ACE13A9,10
dusini-FALTER_20220420_456B81C1ED,FALTER_20220302_19351A344E,11
dusini-FALTER_20220420_456B81C1ED,FALTER_20220309_C7D1CAC2CC,12
dusini-FALTER_20220420_456B81C1ED,FALTER_20221019_9120B4D0D7,13
dusini-FALTER_20220420_456B81C1ED,FALTER_20220518_9910096646,14
dusini-FALTER_20220420_456B81C1ED,FALTER_20220309_1C6B8418BE,15
dusini-FALTER_20220427_B3A080073E,FALTER_20220727_2C2D722D22,1
dusini-FALTER_20220427_B3A080073E,FALTER_20220615_0504E9EB2E,2
dusini-FALTER_20220427_B3A080073E,FALTER_20220427_0078E877C7,3
dusini-FALTER_20220427_B3A080073E,FALTER_20220511_4A7528A16C,4
dusini-FALTER_20220427_B3A080073E,FALTER_20220518_48A2BFD79B,5
dusini-FALTER_20220427_B3A080073E,FALTER_20220615_0680834F09,6
dusini-FALTER_20220427_B3A080073E,FALTER_20220525_CBA5FCF2F5,7
dusini-FALTER_20220427_B3A080073E,FALTER_20220831_BA901FBA34,8
dusini-FALTER_20220427_B3A080073E,FALTER_20220323_27A7C5E5E9,9
dusini-FALTER_20220427_B3A080073E,FALTER_20220907_E058ABCBB5,10
dusini-FALTER_20220427_B3A080073E,FALTER_20220727_3C956DA47F,11
dusini-FALTER_20220427_B3A080073E,FALTER_20221130_3F918D7E7C,12
dusini-FALTER_20220427_B3A080073E,FALTER_20220727_A0E61F8EB2,13
dusini-FALTER_20220427_B3A080073E,FALTER_20220330_CE3567D9B8,14
dusini-FALTER_20220427_B3A080073E,FALTER_20221207_4627D5AD57,15
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220427_F66EC58DD7,1
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220622_0B469E3484,2
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220622_0FDF06C890,3
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220427_66F59F5B53,4
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220330_CE3567D9B8,5
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220112_3A36C4309B,6
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220323_8B8BF208AC,7
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20221116_0EFF68E611,8
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220302_EEEFB19294,9
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220831_BA901FBA34,10
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220907_E058ABCBB5,11
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220720_4882054D52,12
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220420_31EBD6C256,13
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220608_154E5D2AE8,14
dusini-FALTER_20220427_FE8EA8FDF8,FALTER_20220713_270660831B,15
dusini-FALTER_20220511_4A7528A16C,FALTER_20221116_0EFF68E611,1
dusini-FALTER_20220511_4A7528A16C,FALTER_20221102_CA7B580DFC,2
dusini-FALTER_20220511_4A7528A16C,FALTER_20220504_B6225EFA09,3
dusini-FALTER_20220511_4A7528A16C,FALTER_20220202_E026B80A15,4
